id,predictions
3033793,237.01825
3033794,1635.439
3033795,296.8228
3033796,235.86453
3033797,230.53003
3033801,2592.2163
3033802,1497.4061
3033805,251.61578
3033807,290.87228
3033808,2081.3862
3033810,362.0099
3033811,258.74844
3033812,238.76465
3033813,235.79819
3033814,412.3509
3033816,215.68747
3033818,574.9449
3033821,277.6658
3033824,227.09842
3033825,237.58942
3033826,239.65591
3033832,2027.692
3033833,280.62576
3033834,320.63797
3033835,180.02826
3033837,727.6166
3033838,257.02682
3033840,205.18118
3033842,238.50974
3033843,235.80624
3033844,2149.9902
3033845,1667.3757
3033846,604.35944
3033848,504.1451
3033849,235.95355
3033850,591.33356
3033851,364.17847
3033852,863.74805
3033853,308.36703
3033855,2228.5537
3033856,1364.4402
3033857,952.5165
3033859,330.80026
3033860,312.44888
3033864,1158.5911
3033865,309.32523
3033867,2217.371
3033868,217.54959
3033871,240.8002
3033872,131.7807
3033873,201.73965
3033875,462.35828
3033876,226.7832
3033877,595.95996
3033879,239.28937
3033880,209.203
3033881,1813.9147
3033882,1244.9967
3033883,665.45654
3033884,1925.1993
3033886,323.6546
3033887,593.3666
3033890,1773.0437
3033892,266.50867
3033893,2056.6682
3033894,251.97156
3033896,1235.1748
3033898,505.8089
3033901,237.47339
3033902,234.07144
3033903,302.05383
3033904,581.4957
3033905,76.68918
3033907,345.64395
3033908,129.24387
3033909,1004.41583
3033912,714.6552
3033913,503.26797
3033915,553.3949
3033917,312.03687
3033920,364.9813
3033921,298.36545
3033922,235.30951
3033923,271.2862
3033926,387.6988
3033927,225.87137
3033928,1852.5746
3033931,992.58417
3033932,218.04904
3033933,259.00232
3033934,313.41687
3033935,258.2517
3033936,806.8616
3033937,294.86328
3033938,373.5175
3033939,610.4575
3033942,416.31528
3033944,222.89426
3033945,415.04913
3033946,337.81607
3033948,2348.0312
3033949,277.2612
3033951,730.3061
3033952,421.1572
3033953,538.0613
3033957,423.20572
3033958,447.89938
3033959,225.603
3033960,341.78314
3033961,568.6391
3033962,458.49066
3033963,678.97736
3033965,398.9891
3033967,1001.7162
3033970,568.2053
3033971,419.0883
3033974,214.83707
3033975,397.7101
3033976,226.169
3033978,223.29071
3033979,414.1616
3033980,2596.5605
3033982,354.12314
3033983,991.9334
3033985,517.2744
3033986,215.52844
3033987,2224.5415
3033988,327.2424
3033990,383.69708
3033991,557.7506
3033992,2036.1761
3033993,1470.3591
3033996,354.5901
3033998,183.7395
3033999,252.18497
3034001,186.34375
3034005,227.646
3034006,207.81668
3034007,262.5659
3034008,155.22778
3034009,258.42252
3034010,2581.2344
3034011,526.0288
3034015,323.00043
3034016,441.7063
3034017,721.38806
3034018,259.0619
3034019,2389.0105
3034020,407.10443
3034021,223.27032
3034022,414.0682
3034023,141.56757
3034024,231.08401
3034026,1998.5969
3034029,2295.9688
3034030,92.371
3034033,399.67233
3034034,410.32175
3034035,800.8689
3034036,237.63654
3034038,243.18839
3034046,464.39407
3034048,239.16568
3034050,503.3755
3034052,218.97949
3034053,718.9592
3034054,240.02063
3034058,265.46423
3034059,270.17236
3034060,367.95352
3034062,469.86316
3034065,720.90436
3034066,299.43112
3034068,261.32574
3034069,2382.5432
3034071,2032.8014
3034074,1548.6031
3034075,1273.7437
3034076,578.7166
3034077,284.13184
3034079,1065.2953
3034080,373.97525
3034082,211.55347
3034084,1477.459
3034087,272.81708
3034089,233.41214
3034090,2585.0183
3034091,225.8501
3034092,160.71536
3034093,238.22586
3034094,2271.4124
3034095,346.72662
3034097,1551.5428
3034100,235.91077
3034102,384.48416
3034103,377.27405
3034105,209.10468
3034106,840.5104
3034108,1970.2347
3034110,272.49008
3034111,238.22443
3034113,253.74402
3034115,850.2133
3034116,247.75974
3034119,221.63666
3034120,300.7667
3034122,227.47943
3034125,255.56094
3034127,298.6474
3034128,237.23727
3034129,223.33325
3034132,349.02612
3034133,290.50735
3034134,211.89731
3034135,231.75201
3034137,236.26794
3034140,237.61191
3034143,239.00781
3034144,214.97366
3034145,239.12848
3034146,332.13968
3034147,242.4365
3034148,509.57352
3034150,314.27063
3034152,242.69427
3034153,574.5537
3034154,278.13455
3034157,1802.443
