id,predictions
3033789,299.45575
3033790,228.33575
3033791,242.43698
3033792,225.55008
3033793,237.01825
3033794,1635.439
3033795,296.8228
3033796,235.86453
3033797,230.53003
3033798,2392.8167
3033799,227.97281
3033800,223.05283
3033801,2592.2163
3033802,1497.4061
3033803,1339.2245
3033804,604.40955
3033805,251.61578
3033806,478.28885
3033807,290.87228
3033808,2081.3862
3033809,563.5538
3033810,362.0099
3033811,258.74844
3033812,238.76465
3033813,235.79819
3033814,412.3509
3033815,1133.06
3033816,215.68747
3033817,238.53204
3033818,574.9449
3033819,701.8463
3033820,454.90482
3033821,277.6658
3033822,582.02795
3033823,42.3193
3033824,227.09842
3033825,237.58942
3033826,239.65591
3033827,232.77725
3033828,1204.5801
3033829,550.24316
3033830,212.10538
3033831,25.151823
3033832,2027.692
3033833,280.62576
3033834,320.63797
3033835,180.02826
3033836,298.26694
3033837,727.6166
3033838,257.02682
3033839,238.58698
3033840,205.18118
3033841,237.08072
3033842,238.50974
3033843,235.80624
3033844,2149.9902
3033845,1667.3757
3033846,604.35944
3033847,229.12234
3033848,504.1451
3033849,235.95355
3033850,591.33356
3033851,364.17847
3033852,863.74805
3033853,308.36703
3033854,235.16623
3033855,2228.5537
3033856,1364.4402
3033857,952.5165
3033858,130.13873
3033859,330.80026
3033860,312.44888
3033861,1234.9922
3033862,752.4392
3033863,225.98172
3033864,1158.5911
3033865,309.32523
3033866,467.4808
3033867,2217.371
3033868,217.54959
3033869,205.05707
3033870,885.54224
3033871,240.8002
3033872,131.7807
3033873,201.73965
3033874,275.3309
3033875,462.35828
3033876,226.7832
3033877,595.95996
3033878,308.1989
3033879,239.28937
3033880,209.203
3033881,1813.9147
3033882,1244.9967
3033883,665.45654
3033884,1925.1993
3033885,324.0862
3033886,323.6546
3033887,593.3666
3033888,1397.219
3033889,231.13318
3033890,1773.0437
3033891,413.71365
3033892,266.50867
3033893,2056.6682
3033894,251.97156
3033895,715.0164
3033896,1235.1748
3033897,96.88663
3033898,505.8089
3033899,370.56497
3033900,213.71152
3033901,237.47339
3033902,234.07144
3033903,302.05383
3033904,581.4957
3033905,76.68918
3033906,233.91791
3033907,345.64395
3033908,129.24387
3033909,1004.41583
3033910,428.67526
3033911,486.37805
3033912,714.6552
3033913,503.26797
3033914,412.11197
3033915,553.3949
3033916,2462.57
3033917,312.03687
3033918,200.96448
3033919,37.360012
3033920,364.9813
3033921,298.36545
3033922,235.30951
3033923,271.2862
3033924,267.46655
3033925,288.09918
3033926,387.6988
3033927,225.87137
3033928,1852.5746
3033929,2624.2595
3033930,1514.7556
3033931,992.58417
3033932,218.04904
3033933,259.00232
3033934,313.41687
3033935,258.2517
3033936,806.8616
3033937,294.86328
3033938,373.5175
3033939,610.4575
3033940,200.27808
3033941,600.39667
3033942,416.31528
3033943,419.36105
3033944,222.89426
3033945,415.04913
3033946,337.81607
3033947,237.7044
3033948,2348.0312
3033949,277.2612
3033950,352.1891
3033951,730.3061
3033952,421.1572
3033953,538.0613
3033954,93.53482
3033955,410.80862
3033956,733.9979
3033957,423.20572
3033958,447.89938
3033959,225.603
3033960,341.78314
3033961,568.6391
3033962,458.49066
3033963,678.97736
3033964,506.59238
3033965,398.9891
3033966,218.05334
3033967,1001.7162
3033968,237.09222
3033969,352.9026
3033970,568.2053
3033971,419.0883
3033972,284.59387
3033973,590.1036
3033974,214.83707
3033975,397.7101
3033976,226.169
3033977,373.63547
3033978,223.29071
3033979,414.1616
3033980,2596.5605
3033981,237.96646
3033982,354.12314
3033983,991.9334
3033984,211.07678
3033985,517.2744
3033986,215.52844
3033987,2224.5415
3033988,327.2424
3033989,704.2026
3033990,383.69708
3033991,557.7506
3033992,2036.1761
3033993,1470.3591
3033994,722.1286
3033995,90.9368
3033996,354.5901
3033997,2621.1184
3033998,183.7395
3033999,252.18497
3034000,211.66876
3034001,186.34375
3034002,968.0259
3034003,213.72525
3034004,1527.0339
3034005,227.646
3034006,207.81668
3034007,262.5659
3034008,155.22778
3034009,258.42252
3034010,2581.2344
3034011,526.0288
3034012,252.86209
3034013,352.2039
3034014,453.57062
3034015,323.00043
3034016,441.7063
3034017,721.38806
3034018,259.0619
3034019,2389.0105
3034020,407.10443
3034021,223.27032
3034022,414.0682
3034023,141.56757
3034024,231.08401
3034025,297.10876
3034026,1998.5969
3034027,827.61237
3034028,245.15204
3034029,2295.9688
3034030,92.371
3034031,1239.0325
3034032,586.09076
